GTD ID,DATE,COUNTRY,CITY,PERPETRATOR GROUP,FATALITIES,INJURED,TARGET TYPE
201912060023,2019-12-06,Spain,Madrid,Indigenous People of Biafra (IPOB),0,0,Government (General)
201912060010,2019-12-06,Spain,Madrid,Anti-Immigrant extremists,0,0,Private Citizens & Property
201906240020,2019-06-24,Spain,Ceuta,Unknown,0,0,Religious Figures/Institutions
201902220050,2019-02-22,Spain,Madrid,Free Joseon,0,2,Government (Diplomatic)
201808200001,2018-08-20,Spain,Cornella de Llobregat,Muslim extremists,1,0,Police
201804010035,2018-04-01,Spain,Barcelona,Bastards & Blasphems,0,0,Business
201708180003,2017-08-18,Spain,Cambrils,Muslim extremists,6,6,Private Citizens & Property
201708170003,2017-08-17,Spain,Barcelona,Muslim extremists,1,3,"Police,Private Citizens & Property"
201708170002,2017-08-17,Spain,Barcelona,Muslim extremists,14,101,Private Citizens & Property
201707250015,2017-07-25,Spain,Melilla,Unknown,0,1,Police
201610150035,2016-10-15,Spain,Alsasua,Alde Hemendik Movement,0,4,Police
201609100006,2016-09-10,Spain,Fontellas,Muslim extremists,0,0,Religious Figures/Institutions
201603240039,2016-03-24,Spain,Madrid,Ramiro Ledesma Social Centre,0,0,Religious Figures/Institutions
201512260062,2015-12-23,Spain,Madrid,Ramiro Ledesma Social Centre,0,0,Government (General)
201412190050,2014-12-19,Spain,Madrid,Unknown,0,0,Government (General)
201410010040,2014-10-01,Spain,Baralla,Resistencia Galega,0,0,Government (General)
201409280056,2014-09-28,Spain,Bilbao,Basque Separatists,0,0,Transportation
201408190096,2014-08-20,Spain,Loiu,Unknown,0,0,Transportation
201310070049,2013-10-07,Spain,Beade,Resistencia Galega,0,0,Government (General)
201310020025,2013-10-02,Spain,Zaragoza,Mateo Morral Insurrectionist Commandos,0,0,Religious Figures/Institutions
201304200031,2013-04-19,Spain,Pamplona,Anti-Clerical Pro-Sex Toys Group,0,0,Religious Figures/Institutions
201304190037,2013-04-19,Spain,Madrid,Anti-Clerical Pro-Sex Toys Group,0,1,Educational Institution
201302070008,2013-02-07,Spain,Madrid,Mateo Morral Insurrectionist Commandos,0,0,Religious Figures/Institutions
201209150013,2012-09-15,Spain,Vigo,Resistencia Galega (suspected),0,0,Unknown
201009160031,2010-09-16,Spain,Vitoria,Basque Fatherland and Freedom (ETA) (suspected),0,0,Private Citizens & Property
201009160029,2010-09-16,Spain,Pontevedra,Unknown,0,0,Government (General)
201006240011,2010-06-24,Spain,Salvatierra,Unknown,0,0,Police
200911270007,2009-11-27,Spain,Getxo,Unknown,0,0,Transportation
200910170003,2009-10-17,Spain,Durango,Basque Fatherland and Freedom (ETA) (suspected),0,0,Transportation
200910160002,2009-10-16,Spain,Bilbao,Basque Fatherland and Freedom (ETA) (suspected),0,0,Transportation
200908270009,2009-08-27,Spain,Okondo,Basque Fatherland and Freedom (ETA) (suspected),0,0,Private Citizens & Property
200908090008,2009-08-09,Spain,Palma de Mallorca,Basque Fatherland and Freedom (ETA),0,0,Business
200908090007,2009-08-09,Spain,Palma de Mallorca,Basque Fatherland and Freedom (ETA),0,0,Business
200908090006,2009-08-09,Spain,Palma de Mallorca,Basque Fatherland and Freedom (ETA),0,2,Business
200908090005,2009-08-09,Spain,Palma de Mallorca,Basque Fatherland and Freedom (ETA) (suspected),0,0,Business
200907300018,2009-07-30,Spain,Calvia,Basque Fatherland and Freedom (ETA),2,0,Police
200907290025,2009-07-29,Spain,Burgos,Basque Fatherland and Freedom (ETA) (suspected),0,46,Police
200907100002,2009-07-10,Spain,Durango,Basque Fatherland and Freedom (ETA) (suspected),0,0,Government (General)
